run_id,value,variable,unit,method,date,year,doy,dae
MZ0001,4.32,et,mm_day,Bowen Ratio + Perez,20/12/2018,2018,354,9
MZ0001,3.59,et,mm_day,Bowen Ratio + Perez,21/12/2018,2018,355,10
MZ0001,3.45,et,mm_day,Bowen Ratio + Perez,22/12/2018,2018,356,11
MZ0001,0.78,et,mm_day,Bowen Ratio + Perez,23/12/2018,2018,357,12
MZ0001,0.51,et,mm_day,Bowen Ratio + Perez,24/12/2018,2018,358,13
MZ0001,0.42,et,mm_day,Bowen Ratio + Perez,25/12/2018,2018,359,14
MZ0001,2.75,et,mm_day,Bowen Ratio + Perez,26/12/2018,2018,360,15
MZ0001,2.91,et,mm_day,Bowen Ratio + Perez,27/12/2018,2018,361,16
MZ0001,3.3,et,mm_day,Bowen Ratio + Perez,28/12/2018,2018,362,17
MZ0001,4.83,et,mm_day,Bowen Ratio + Perez,29/12/2018,2018,363,18
MZ0001,4.81,et,mm_day,Bowen Ratio + Perez,30/12/2018,2018,364,19
MZ0001,4.38,et,mm_day,Bowen Ratio + Perez,31/12/2018,2018,365,20
MZ0001,3.97,et,mm_day,Bowen Ratio + Perez,1/1/2019,2019,1,21
MZ0001,4.56,et,mm_day,Bowen Ratio + Perez,2/1/2019,2019,2,22
MZ0001,3.91,et,mm_day,Bowen Ratio + Perez,3/1/2019,2019,3,23
MZ0001,4.51,et,mm_day,Bowen Ratio + Perez,4/1/2019,2019,4,24
MZ0001,1.72,et,mm_day,Bowen Ratio + Perez,5/1/2019,2019,5,25
MZ0001,4.38,et,mm_day,Bowen Ratio + Perez,6/1/2019,2019,6,26
MZ0001,8.68,et,mm_day,Bowen Ratio + Perez,7/1/2019,2019,7,27
MZ0001,6.26,et,mm_day,Bowen Ratio + Perez,8/1/2019,2019,8,28
MZ0001,7.6,et,mm_day,Bowen Ratio + Perez,9/1/2019,2019,9,29
MZ0001,7.45,et,mm_day,Bowen Ratio + Perez,10/1/2019,2019,10,30
MZ0001,6.22,et,mm_day,Bowen Ratio + Perez,11/1/2019,2019,11,31
MZ0001,6.25,et,mm_day,Bowen Ratio + Perez,12/1/2019,2019,12,32
MZ0001,6.33,et,mm_day,Bowen Ratio + Perez,13/01/2019,2019,13,33
MZ0001,6.94,et,mm_day,Bowen Ratio + Perez,14/01/2019,2019,14,34
MZ0001,8.13,et,mm_day,Bowen Ratio + Perez,15/01/2019,2019,15,35
MZ0001,5.13,et,mm_day,Bowen Ratio + Perez,16/01/2019,2019,16,36
MZ0001,6.99,et,mm_day,Bowen Ratio + Perez,17/01/2019,2019,17,37
MZ0001,6.32,et,mm_day,Bowen Ratio + Perez,18/01/2019,2019,18,38
MZ0001,6.3,et,mm_day,Bowen Ratio + Perez,19/01/2019,2019,19,39
MZ0001,7.65,et,mm_day,Bowen Ratio + Perez,20/01/2019,2019,20,40
MZ0001,8.15,et,mm_day,Bowen Ratio + Perez,21/01/2019,2019,21,41
MZ0001,8.02,et,mm_day,Bowen Ratio + Perez,22/01/2019,2019,22,42
MZ0001,5.68,et,mm_day,Bowen Ratio + Perez,23/01/2019,2019,23,43
MZ0001,5.65,et,mm_day,Bowen Ratio + Perez,24/01/2019,2019,24,44
MZ0001,2.08,et,mm_day,Bowen Ratio + Perez,25/01/2019,2019,25,45
MZ0001,5.56,et,mm_day,Bowen Ratio + Perez,26/01/2019,2019,26,46
MZ0001,7.2,et,mm_day,Bowen Ratio + Perez,27/01/2019,2019,27,47
MZ0001,8.78,et,mm_day,Bowen Ratio + Perez,28/01/2019,2019,28,48
MZ0001,7.59,et,mm_day,Bowen Ratio + Perez,29/01/2019,2019,29,49
MZ0001,7.64,et,mm_day,Bowen Ratio + Perez,30/01/2019,2019,30,50
MZ0001,4.99,et,mm_day,Bowen Ratio + Perez,9/2/2019,2019,40,60
MZ0001,6.15,et,mm_day,Bowen Ratio + Perez,10/2/2019,2019,41,61
MZ0001,4.83,et,mm_day,Bowen Ratio + Perez,11/2/2019,2019,42,62
MZ0001,5.31,et,mm_day,Bowen Ratio + Perez,12/2/2019,2019,43,63
MZ0001,1.83,et,mm_day,Bowen Ratio + Perez,13/02/2019,2019,44,64
MZ0001,1.39,et,mm_day,Bowen Ratio + Perez,14/02/2019,2019,45,65
MZ0001,3.81,et,mm_day,Bowen Ratio + Perez,15/02/2019,2019,46,66
MZ0001,2.73,et,mm_day,Bowen Ratio + Perez,16/02/2019,2019,47,67
MZ0001,1.4,et,mm_day,Bowen Ratio + Perez,17/02/2019,2019,48,68
MZ0001,1.97,et,mm_day,Bowen Ratio + Perez,18/02/2019,2019,49,69
MZ0001,3.14,et,mm_day,Bowen Ratio + Perez,19/02/2019,2019,50,70
MZ0001,5.28,et,mm_day,Bowen Ratio + Perez,20/02/2019,2019,51,71
MZ0001,2.85,et,mm_day,Bowen Ratio + Perez,21/02/2019,2019,52,72
MZ0001,3.21,et,mm_day,Bowen Ratio + Perez,22/02/2019,2019,53,73
MZ0001,3.8,et,mm_day,Bowen Ratio + Perez,23/02/2019,2019,54,74
MZ0001,4.22,et,mm_day,Bowen Ratio + Perez,24/02/2019,2019,55,75
MZ0001,4.56,et,mm_day,Bowen Ratio + Perez,25/02/2019,2019,56,76
MZ0001,4.11,et,mm_day,Bowen Ratio + Perez,26/02/2019,2019,57,77
MZ0001,1.73,et,mm_day,Bowen Ratio + Perez,27/02/2019,2019,58,78
MZ0001,2.75,et,mm_day,Bowen Ratio + Perez,28/02/2019,2019,59,79
MZ0001,1.53,et,mm_day,Bowen Ratio + Perez,1/3/2019,2019,60,80
MZ0001,1.92,et,mm_day,Bowen Ratio + Perez,2/3/2019,2019,61,81
MZ0001,2.68,et,mm_day,Bowen Ratio + Perez,3/3/2019,2019,62,82
MZ0001,3.3,et,mm_day,Bowen Ratio + Perez,4/3/2019,2019,63,83
MZ0001,4.06,et,mm_day,Bowen Ratio + Perez,5/3/2019,2019,64,84
MZ0001,4.68,et,mm_day,Bowen Ratio + Perez,6/3/2019,2019,65,85
MZ0001,5.9,et,mm_day,Bowen Ratio + Perez,7/3/2019,2019,66,86
MZ0001,2.53,et,mm_day,Bowen Ratio + Perez,8/3/2019,2019,67,87
MZ0001,4.35,et,mm_day,Bowen Ratio + Perez,9/3/2019,2019,68,88
MZ0001,4.15,et,mm_day,Bowen Ratio + Perez,10/3/2019,2019,69,89
MZ0001,4.48,et,mm_day,Bowen Ratio + Perez,11/3/2019,2019,70,90
MZ0001,2.05,et,mm_day,Bowen Ratio + Perez,12/3/2019,2019,71,91
MZ0001,3.93,et,mm_day,Bowen Ratio + Perez,13/03/2019,2019,72,92
MZ0001,3.85,et,mm_day,Bowen Ratio + Perez,14/03/2019,2019,73,93
MZ0001,0.32,et,mm_day,Bowen Ratio + Perez,15/03/2019,2019,74,94
