run_id,obs_value,variable,agg_type,sub_agg_type,units,date,year,doy,dap,valid
SB0001,0.99,lai,avg,NA,m2/m2,16/01/2016,2016,16,29,1
SB0001,2.18,lai,avg,NA,m2/m2,26/01/2016,2016,26,39,1
SB0001,4.42,lai,avg,NA,m2/m2,2/2/2016,2016,33,46,1
SB0001,4.77,lai,avg,NA,m2/m2,9/2/2016,2016,40,53,1
SB0001,4.59,lai,avg,NA,m2/m2,16/02/2016,2016,47,60,1
SB0001,3.52,lai,avg,NA,m2/m2,5/3/2016,2016,64,78,1
SB0001,3.04,lai,avg,NA,m2/m2,21/03/2016,2016,80,94,1
SB0001,0.45752,leaf_dw,avg,NA,ton/ha,16/01/2016,2016,16,29,1
SB0001,0.80951,leaf_dw,avg,NA,ton/ha,26/01/2016,2016,26,39,1
SB0001,1.07858,leaf_dw,avg,NA,ton/ha,2/2/2016,2016,33,46,1
SB0001,1.53413,leaf_dw,avg,NA,ton/ha,9/2/2016,2016,40,53,1
SB0001,1.80925,leaf_dw,avg,NA,ton/ha,16/02/2016,2016,47,60,1
SB0001,1.70387,leaf_dw,avg,NA,ton/ha,5/3/2016,2016,64,78,1
SB0001,1.59529,leaf_dw,avg,NA,ton/ha,21/03/2016,2016,80,94,1
SB0001,0.64827,lf_st_dw,avg,NA,ton/ha,16/01/2016,2016,16,29,1
SB0001,1.37414,lf_st_dw,avg,NA,ton/ha,26/01/2016,2016,26,39,1
SB0001,2.10381,lf_st_dw,avg,NA,ton/ha,2/2/2016,2016,33,46,1
SB0001,3.42712,lf_st_dw,avg,NA,ton/ha,9/2/2016,2016,40,53,1
SB0001,4.36735,lf_st_dw,avg,NA,ton/ha,16/02/2016,2016,47,60,1
SB0001,4.73757,lf_st_dw,avg,NA,ton/ha,5/3/2016,2016,64,78,1
SB0001,4.53174,lf_st_dw,avg,NA,ton/ha,21/03/2016,2016,80,94,1
SB0001,0.09306,root_dw,avg,NA,ton/ha,16/01/2016,2016,16,29,1
SB0001,0.15733,root_dw,avg,NA,ton/ha,26/01/2016,2016,26,39,1
SB0001,0.38017,root_dw,avg,NA,ton/ha,2/2/2016,2016,33,46,1
SB0001,0.50774,root_dw,avg,NA,ton/ha,9/2/2016,2016,40,53,1
SB0001,0.53644,root_dw,avg,NA,ton/ha,16/02/2016,2016,47,60,1
SB0001,0.37235,root_dw,avg,NA,ton/ha,5/3/2016,2016,64,78,1
SB0001,0.86324,root_dw,avg,NA,ton/ha,21/03/2016,2016,80,94,1
SB0001,0.19075,stem_dw,avg,NA,ton/ha,16/01/2016,2016,16,29,1
