run_id,dap,obs_value,variable,variety,units,date,year,doy,obs_type,valid
SC0003,42,0.135,root_dw,RB72454,ton/ha,10/12/2004,2004,345,avg,1
SC0003,68,1.285,root_dw,RB72454,ton/ha,5/1/2005,2005,5,avg,1
SC0003,129,2.301,root_dw,RB72454,ton/ha,7/3/2005,2005,66,avg,1
SC0003,164,1.847,root_dw,RB72454,ton/ha,11/4/2005,2005,101,avg,1
SC0003,214,2.382,root_dw,RB72454,ton/ha,31/05/2005,2005,151,avg,1
SC0004,42,0.135,root_dw,RB72454,ton/ha,10/12/2004,2004,345,avg,1
SC0004,68,1.285,root_dw,RB72454,ton/ha,5/1/2005,2005,5,avg,1
SC0004,129,2.301,root_dw,RB72454,ton/ha,7/3/2005,2005,66,avg,1
SC0004,164,1.847,root_dw,RB72454,ton/ha,11/4/2005,2005,101,avg,1
SC0004,214,2.382,root_dw,RB72454,ton/ha,31/05/2005,2005,151,avg,1
SC0002,42,0.030628307,leaf_dw,R570,ton/ha,10/12/2004,2004,343,avg,1
SC0002,109,1.14186875,leaf_dw,R570,ton/ha,15/02/2005,2005,44,avg,1
SC0002,129,1.828226268,leaf_dw,R570,ton/ha,7/3/2005,2005,64,avg,1
SC0002,214,5.31000875,leaf_dw,R570,ton/ha,31/05/2005,2005,149,avg,1
SC0002,271,6.140952,leaf_dw,R570,ton/ha,27/07/2005,2005,206,avg,1
SC0002,333,6.828285745,leaf_dw,R570,ton/ha,27/09/2005,2005,268,avg,1
SC0001,42,0.024214286,leaf_dw,R570,ton/ha,10/12/2004,2004,343,avg,1
SC0001,109,1.357592,leaf_dw,R570,ton/ha,15/02/2005,2005,44,avg,1
SC0001,129,2.253396109,leaf_dw,R570,ton/ha,7/3/2005,2005,64,avg,1
SC0001,214,5.242725,leaf_dw,R570,ton/ha,31/05/2005,2005,149,avg,1
SC0001,271,6.00730875,leaf_dw,R570,ton/ha,27/07/2005,2005,206,avg,1
SC0001,333,6.113521552,leaf_dw,R570,ton/ha,27/09/2005,2005,268,avg,1
SC0004,42,0.061671958,leaf_dw,RB72454,ton/ha,10/12/2004,2004,343,avg,1
SC0004,109,2.212525141,leaf_dw,RB72454,ton/ha,15/02/2005,2005,44,avg,1
SC0004,129,3.009419853,leaf_dw,RB72454,ton/ha,7/3/2005,2005,64,avg,1
SC0004,214,5.408810543,leaf_dw,RB72454,ton/ha,31/05/2005,2005,149,avg,1
SC0004,271,5.752456668,leaf_dw,RB72454,ton/ha,27/07/2005,2005,206,avg,1
SC0004,333,6.263421985,leaf_dw,RB72454,ton/ha,27/09/2005,2005,268,avg,1
SC0003,42,0.044169643,leaf_dw,RB72454,ton/ha,10/12/2004,2004,343,avg,1
SC0003,109,2.025517641,leaf_dw,RB72454,ton/ha,15/02/2005,2005,44,avg,1
SC0003,129,2.515779223,leaf_dw,RB72454,ton/ha,7/3/2005,2005,64,avg,1
SC0003,214,5.30587916,leaf_dw,RB72454,ton/ha,31/05/2005,2005,149,avg,1
SC0003,271,5.716576035,leaf_dw,RB72454,ton/ha,27/07/2005,2005,206,avg,1
SC0003,333,5.630434448,leaf_dw,RB72454,ton/ha,27/09/2005,2005,268,avg,1
SC0008,42,0.037435185,leaf_dw,NCo376,ton/ha,10/12/2004,2004,343,avg,1
SC0008,109,1.517533,leaf_dw,NCo376,ton/ha,15/02/2005,2005,44,avg,1
SC0008,129,2.466940109,leaf_dw,NCo376,ton/ha,7/3/2005,2005,64,avg,1
SC0008,214,6.353732813,leaf_dw,NCo376,ton/ha,31/05/2005,2005,149,avg,1
SC0008,271,7.411294078,leaf_dw,NCo376,ton/ha,27/07/2005,2005,206,avg,1
SC0008,333,8.459803309,leaf_dw,NCo376,ton/ha,27/09/2005,2005,268,avg,1
SC0007,42,0.030333333,leaf_dw,NCo376,ton/ha,10/12/2004,2004,343,avg,1
SC0007,109,2.310673313,leaf_dw,NCo376,ton/ha,15/02/2005,2005,44,avg,1
SC0007,129,3.150830314,leaf_dw,NCo376,ton/ha,7/3/2005,2005,64,avg,1
SC0007,214,6.507794813,leaf_dw,NCo376,ton/ha,31/05/2005,2005,149,avg,1
SC0007,271,7.365262645,leaf_dw,NCo376,ton/ha,27/07/2005,2005,206,avg,1
SC0007,333,7.239443191,leaf_dw,NCo376,ton/ha,27/09/2005,2005,268,avg,1
SC0006,42,0.029826984,leaf_dw,SP83-2847,ton/ha,10/12/2004,2004,343,avg,1
SC0006,109,1.714195,leaf_dw,SP83-2847,ton/ha,15/02/2005,2005,44,avg,1
SC0006,129,2.511386827,leaf_dw,SP83-2847,ton/ha,7/3/2005,2005,64,avg,1
SC0006,214,5.4368125,leaf_dw,SP83-2847,ton/ha,31/05/2005,2005,149,avg,1
SC0006,271,6.156390625,leaf_dw,SP83-2847,ton/ha,27/07/2005,2005,206,avg,1
SC0006,333,7.080416233,leaf_dw,SP83-2847,ton/ha,27/09/2005,2005,268,avg,1
SC0005,42,0.045383929,leaf_dw,SP83-2847,ton/ha,10/12/2004,2004,343,avg,1
SC0005,109,1.68861,leaf_dw,SP83-2847,ton/ha,15/02/2005,2005,44,avg,1
SC0005,129,2.462296931,leaf_dw,SP83-2847,ton/ha,7/3/2005,2005,64,avg,1
SC0005,214,5.243325938,leaf_dw,SP83-2847,ton/ha,31/05/2005,2005,149,avg,1
SC0005,271,6.03806,leaf_dw,SP83-2847,ton/ha,27/07/2005,2005,206,avg,1
SC0005,333,7.048813913,leaf_dw,SP83-2847,ton/ha,27/09/2005,2005,268,avg,1
SC0002,42,0.040667989,aerial_dw,R570,ton/ha,10/12/2004,2004,343,avg,1
SC0002,109,4.265752734,aerial_dw,R570,ton/ha,15/02/2005,2005,44,avg,1
SC0002,129,8.87,aerial_dw,R570,ton/ha,7/3/2005,2005,64,avg,1
SC0002,214,38.99731261,aerial_dw,R570,ton/ha,31/05/2005,2005,149,avg,1
SC0002,271,50.363163,aerial_dw,R570,ton/ha,27/07/2005,2005,206,avg,1
SC0002,333,56.89491644,aerial_dw,R570,ton/ha,27/09/2005,2005,268,avg,1
SC0001,42,0.032571429,aerial_dw,R570,ton/ha,10/12/2004,2004,343,avg,1
SC0001,109,5.294043,aerial_dw,R570,ton/ha,15/02/2005,2005,44,avg,1
SC0001,129,8.760610752,aerial_dw,R570,ton/ha,7/3/2005,2005,64,avg,1
SC0001,214,38.15188594,aerial_dw,R570,ton/ha,31/05/2005,2005,149,avg,1
SC0001,271,48.41598136,aerial_dw,R570,ton/ha,27/07/2005,2005,206,avg,1
SC0001,333,54.08890805,aerial_dw,R570,ton/ha,27/09/2005,2005,268,avg,1
SC0004,42,0.091886243,aerial_dw,RB72454,ton/ha,10/12/2004,2004,343,avg,1
SC0004,109,12.38717614,aerial_dw,RB72454,ton/ha,15/02/2005,2005,44,avg,1
SC0004,129,19.40000774,aerial_dw,RB72454,ton/ha,7/3/2005,2005,64,avg,1
SC0004,214,51.08652093,aerial_dw,RB72454,ton/ha,31/05/2005,2005,149,avg,1
SC0004,271,57.87247489,aerial_dw,RB72454,ton/ha,27/07/2005,2005,206,avg,1
SC0004,333,65.0474222,aerial_dw,RB72454,ton/ha,27/09/2005,2005,268,avg,1
SC0003,42,0.074982143,aerial_dw,RB72454,ton/ha,10/12/2004,2004,343,avg,1
SC0003,109,11.01185339,aerial_dw,RB72454,ton/ha,15/02/2005,2005,44,avg,1
