time,soil,y,x,sm_wilt,sm_crit,soil_wet,t_soil,smcl,time_value,run_ini,run_end,time_delta,date,year,doy_f,doy,dap_f,dap,das_f,das
1,1,1,1,0.24879996,0.3916999,0.69034743,287.62167,33.012417,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days 00:00:00.000000000,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,2,1,1,0.24879996,0.3916999,0.7026248,276.95602,83.998795,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days 00:00:00.000000000,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,3,1,1,0.24879996,0.3916999,0.6999237,273.28946,217.55724,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days 00:00:00.000000000,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,4,1,1,0.24879996,0.3916999,0.69999975,273.15042,669.4798,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days 00:00:00.000000000,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
2,1,1,1,0.24879996,0.3916999,0.7757184,292.35794,37.09486,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days 00:00:00.000000000,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,2,1,1,0.24879996,0.3916999,0.7804834,283.20276,93.30679,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days 00:00:00.000000000,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,3,1,1,0.24879996,0.3916999,0.7164049,274.19125,222.68013,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days 00:00:00.000000000,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,4,1,1,0.24879996,0.3916999,0.70012736,273.158,669.6017,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days 00:00:00.000000000,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
3,1,1,1,0.24879996,0.3916999,0.7882838,289.04953,37.695736,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days 00:00:00.000000000,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
3,2,1,1,0.24879996,0.3916999,0.7889652,285.53384,94.3208,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days 00:00:00.000000000,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
3,3,1,1,0.24879996,0.3916999,0.73705953,275.49576,229.10016,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days 00:00:00.000000000,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
3,4,1,1,0.24879996,0.3916999,0.70074993,273.1821,670.1973,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days 00:00:00.000000000,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
4,1,1,1,0.24879996,0.3916999,0.79148895,287.5508,37.849003,345600.0,2018-09-01 06:00:00,2019-04-30 06:00:00,4 days 00:00:00.000000000,2018-09-05 06:00:00,2018,247.25,248,-85.75,-84,4.0,4
4,2,1,1,0.24879996,0.3916999,0.7929546,284.8897,94.79772,345600.0,2018-09-01 06:00:00,2019-04-30 06:00:00,4 days 00:00:00.000000000,2018-09-05 06:00:00,2018,247.25,248,-85.75,-84,4.0,4
4,3,1,1,0.24879996,0.3916999,0.7531319,276.60275,234.09601,345600.0,2018-09-01 06:00:00,2019-04-30 06:00:00,4 days 00:00:00.000000000,2018-09-05 06:00:00,2018,247.25,248,-85.75,-84,4.0,4
4,4,1,1,0.24879996,0.3916999,0.70204645,273.22455,671.4372,345600.0,2018-09-01 06:00:00,2019-04-30 06:00:00,4 days 00:00:00.000000000,2018-09-05 06:00:00,2018,247.25,248,-85.75,-84,4.0,4
5,1,1,1,0.24879996,0.3916999,0.78782916,288.63278,37.673992,432000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,5 days 00:00:00.000000000,2018-09-06 06:00:00,2018,248.25,249,-84.75,-83,5.0,5
5,2,1,1,0.24879996,0.3916999,0.79355973,285.04697,94.870056,432000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,5 days 00:00:00.000000000,2018-09-06 06:00:00,2018,248.25,249,-84.75,-83,5.0,5
5,3,1,1,0.24879996,0.3916999,0.76402664,277.4808,237.48238,432000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,5 days 00:00:00.000000000,2018-09-06 06:00:00,2018,248.25,249,-84.75,-83,5.0,5
5,4,1,1,0.24879996,0.3916999,0.70400786,273.2823,673.3132,432000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,5 days 00:00:00.000000000,2018-09-06 06:00:00,2018,248.25,249,-84.75,-83,5.0,5
6,1,1,1,0.24879996,0.3916999,0.78777057,290.2959,37.67119,518400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,6 days 00:00:00.000000000,2018-09-07 06:00:00,2018,249.25,250,-83.75,-82,6.0,6
6,2,1,1,0.24879996,0.3916999,0.79478854,285.9358,95.01697,518400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,6 days 00:00:00.000000000,2018-09-07 06:00:00,2018,249.25,250,-83.75,-82,6.0,6
6,3,1,1,0.24879996,0.3916999,0.77063257,278.28012,239.5357,518400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,6 days 00:00:00.000000000,2018-09-07 06:00:00,2018,249.25,250,-83.75,-82,6.0,6
6,4,1,1,0.24879996,0.3916999,0.7064569,273.35294,675.65546,518400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,6 days 00:00:00.000000000,2018-09-07 06:00:00,2018,249.25,250,-83.75,-82,6.0,6
7,1,1,1,0.24879996,0.3916999,0.78864723,292.7404,37.71311,604800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,7 days 00:00:00.000000000,2018-09-08 06:00:00,2018,250.25,251,-82.75,-81,7.0,7
7,2,1,1,0.24879996,0.3916999,0.79606324,287.3287,95.16935,604800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,7 days 00:00:00.000000000,2018-09-08 06:00:00,2018,250.25,251,-82.75,-81,7.0,7
7,3,1,1,0.24879996,0.3916999,0.7749513,279.0875,240.87811,604800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,7 days 00:00:00.000000000,2018-09-08 06:00:00,2018,250.25,251,-82.75,-81,7.0,7
7,4,1,1,0.24879996,0.3916999,0.7092127,273.43576,678.29095,604800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,7 days 00:00:00.000000000,2018-09-08 06:00:00,2018,250.25,251,-82.75,-81,7.0,7
8,1,1,1,0.24879996,0.3916999,0.787824,293.74973,37.67375,691200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,8 days 00:00:00.000000000,2018-09-09 06:00:00,2018,251.25,252,-81.75,-80,8.0,8
8,2,1,1,0.24879996,0.3916999,0.79628056,288.83362,95.19532,691200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,8 days 00:00:00.000000000,2018-09-09 06:00:00,2018,251.25,252,-81.75,-80,8.0,8
8,3,1,1,0.24879996,0.3916999,0.7777841,279.9575,241.7586,691200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,8 days 00:00:00.000000000,2018-09-09 06:00:00,2018,251.25,252,-81.75,-80,8.0,8
8,4,1,1,0.24879996,0.3916999,0.71214515,273.5308,681.0955,691200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,8 days 00:00:00.000000000,2018-09-09 06:00:00,2018,251.25,252,-81.75,-80,8.0,8
