run_id,obs_value,variable,obs_type,units_x,date_obs,year,doy,dae,sub_plot,valid,class,subclass,data_type,description,label_var,units_y,vector,sim_code,unit_fac,SAMUCA_sim_code,DSSAT_sim_code,dap,das,date_sim,sim_value,sim_units
MZ0001,0.23555555600000003,leaf_dw,avg,ton/ha,12/19/2018,2018,353,8,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,20,109,2018-12-19 06:00:00,0.09297743,ton/ha
MZ0001,0.6759999999999999,leaf_dw,avg,ton/ha,12/26/2018,2018,360,15,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,27,116,2018-12-26 06:00:00,0.2742955,ton/ha
MZ0001,1.219111111,leaf_dw,avg,ton/ha,1/2/2019,2019,2,22,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,34,123,2019-01-02 06:00:00,0.5971701,ton/ha
MZ0001,7.536111111,leaf_dw,avg,ton/ha,1/9/2019,2019,9,29,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,41,130,2019-01-09 06:00:00,1.0158362,ton/ha
MZ0001,2.6414444440000002,leaf_dw,avg,ton/ha,1/17/2019,2019,17,37,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,49,138,2019-01-17 06:00:00,1.4194348,ton/ha
MZ0001,4.199,leaf_dw,avg,ton/ha,1/23/2019,2019,23,43,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,55,144,2019-01-23 06:00:00,1.5662183,ton/ha
MZ0001,2.896777778,leaf_dw,avg,ton/ha,1/31/2019,2019,31,51,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,63,152,2019-01-31 06:00:00,1.6093421,ton/ha
MZ0001,2.8662222219999998,leaf_dw,avg,ton/ha,2/7/2019,2019,38,58,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,70,159,2019-02-07 06:00:00,1.5927404,ton/ha
MZ0001,3.370666667,leaf_dw,avg,ton/ha,2/14/2019,2019,45,65,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,77,166,2019-02-14 06:00:00,1.4893328,ton/ha
MZ0001,4.7694444439999995,leaf_dw,avg,ton/ha,2/21/2019,2019,52,72,1.0,1,plan,biomass,real,Leaf Dry Weight,Leaf Dry Mass,ton/ha,F,cropleafc,10.0,dw.lv,LWAD,84,173,2019-02-21 06:00:00,1.3067265,ton/ha
