time,y,x,t1p5m_gb,snowfall,snow_grnd_gb,snow_depth_gb,resp_s_gb,precip,smc_tot,snow_can_gb,sw_down,time_value,run_ini,run_end,time_delta,date,year,doy_f,doy,dap_f,dap,das_f,das
1,1,1,297.1134,0.0,0.0,0.0,7.133889e-08,0.0,1004.04834,0.0,216.36212,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
2,1,1,299.13016,0.0,0.0,0.0,1.244323e-07,0.0,1022.6836,0.0,227.7699,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
3,1,1,290.78244,0.0,0.0,0.0,9.674039e-08,0.0,1031.3141,0.0,104.83255,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
4,1,1,287.53702,0.0,0.0,0.0,8.653393e-08,0.0,1038.1802,0.0,134.17682,345600.0,2018-09-01 06:00:00,2019-04-30 06:00:00,4 days,2018-09-05 06:00:00,2018,247.25,248,-85.75,-84,4.0,4
5,1,1,288.40216,0.0,0.0,0.0,9.5756484e-08,0.0,1043.3396,0.0,238.04504,432000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,5 days,2018-09-06 06:00:00,2018,248.25,249,-84.75,-83,5.0,5
6,1,1,290.92117,0.0,0.0,0.0,1.08863105e-07,0.0,1047.8794,0.0,250.12604,518400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,6 days,2018-09-07 06:00:00,2018,249.25,250,-83.75,-82,6.0,6
7,1,1,294.00644,0.0,0.0,0.0,1.31244e-07,0.0,1052.0515,0.0,260.84012,604800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,7 days,2018-09-08 06:00:00,2018,250.25,251,-82.75,-81,7.0,7
8,1,1,294.04108,0.0,0.0,0.0,1.3900708e-07,0.0,1055.7233,0.0,256.55576,691200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,8 days,2018-09-09 06:00:00,2018,251.25,252,-81.75,-80,8.0,8
9,1,1,293.42136,0.0,0.0,0.0,1.3825085e-07,0.00036453747,1061.425,0.0,252.30225,777600.0,2018-09-01 06:00:00,2019-04-30 06:00:00,9 days,2018-09-10 06:00:00,2018,252.25,253,-80.75,-79,9.0,9
10,1,1,293.6921,0.0,0.0,0.0,1.2980277e-07,5.8749997e-06,1086.6034,0.0,256.1489,864000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,10 days,2018-09-11 06:00:00,2018,253.25,254,-79.75,-78,10.0,10
