time,cpft,y,x,harvest_trigger,harvest_counter,cropyield,cropdvi,time_value,run_ini,run_end,time_delta,date,year,doy_f,doy,dap_f,dap,das_f,das
1,1,1,1,0.0,0.0,0.0,-2.0,2592000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,30 days,2018-10-01 06:00:00,2018,273.25,274,-59.75,-58,30.0,30
1,2,1,1,0.0,0.0,0.0,-2.0,2592000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,30 days,2018-10-01 06:00:00,2018,273.25,274,-59.75,-58,30.0,30
1,3,1,1,0.0,0.0,0.0,-0.4699849,2592000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,30 days,2018-10-01 06:00:00,2018,273.25,274,-59.75,-58,30.0,30
1,4,1,1,0.0,0.0,0.0,-2.0,2592000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,30 days,2018-10-01 06:00:00,2018,273.25,274,-59.75,-58,30.0,30
2,1,1,1,0.0,0.0,0.0,-2.0,5270400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,61 days,2018-11-01 06:00:00,2018,304.25,305,-28.75,-27,61.0,61
2,2,1,1,0.0,0.0,0.0,-2.0,5270400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,61 days,2018-11-01 06:00:00,2018,304.25,305,-28.75,-27,61.0,61
2,3,1,1,0.0,0.0,0.0,0.5098013,5270400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,61 days,2018-11-01 06:00:00,2018,304.25,305,-28.75,-27,61.0,61
2,4,1,1,0.0,0.0,0.0,-2.0,5270400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,61 days,2018-11-01 06:00:00,2018,304.25,305,-28.75,-27,61.0,61
3,1,1,1,0.0,0.0,0.0,-2.0,7948800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,92 days,2018-12-02 06:00:00,2018,335.25,336,2.25,3,92.0,92
3,2,1,1,0.0,0.0,0.0,-2.0,7948800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,92 days,2018-12-02 06:00:00,2018,335.25,336,2.25,3,92.0,92
3,3,1,1,0.0,0.0,0.0,1.0012144,7948800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,92 days,2018-12-02 06:00:00,2018,335.25,336,2.25,3,92.0,92
3,4,1,1,0.0,0.0,0.0,-2.0,7948800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,92 days,2018-12-02 06:00:00,2018,335.25,336,2.25,3,92.0,92
4,1,1,1,0.0,0.0,0.0,-2.0,10368000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,120 days,2018-12-30 06:00:00,2018,363.25,364,30.25,31,120.0,120
4,2,1,1,0.0,0.0,0.0,-2.0,10368000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,120 days,2018-12-30 06:00:00,2018,363.25,364,30.25,31,120.0,120
4,3,1,1,0.0,0.0,0.0,1.4014369,10368000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,120 days,2018-12-30 06:00:00,2018,363.25,364,30.25,31,120.0,120
4,4,1,1,0.0,0.0,0.0,-2.0,10368000.0,2018-09-01 06:00:00,2019-04-30 06:00:00,120 days,2018-12-30 06:00:00,2018,363.25,364,30.25,31,120.0,120
5,1,1,1,0.0,0.0,0.0,-2.0,13046400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,151 days,2019-01-30 06:00:00,2019,29.25,30,61.25,62,151.0,151
5,2,1,1,0.0,0.0,0.0,-2.0,13046400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,151 days,2019-01-30 06:00:00,2019,29.25,30,61.25,62,151.0,151
5,3,1,1,5.0,1.0,0.1887473,1.750597,13046400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,151 days,2019-01-30 06:00:00,2019,29.25,30,61.25,62,151.0,151
5,4,1,1,0.0,0.0,0.0,-2.0,13046400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,151 days,2019-01-30 06:00:00,2019,29.25,30,61.25,62,151.0,151
