variable,temp_var,file,namelist,type,array,array_id,prec,n_nl,val
confrac,<confrac>,jules_soil.nml,jules_soil,real,F,1,4,0,0.3
dzsoil_elev,<dzsoil_elev>,jules_soil.nml,jules_soil,real,F,1,4,0,0
dzsoil_io,<dzsoil_io>,jules_soil.nml,jules_soil,real,T,1,4,0,0.1
dzsoil_io,<dzsoil_io>,jules_soil.nml,jules_soil,real,T,2,4,0,0.25
dzsoil_io,<dzsoil_io>,jules_soil.nml,jules_soil,real,T,3,4,0,0.65
dzsoil_io,<dzsoil_io>,jules_soil.nml,jules_soil,real,T,4,4,0,2
l_bedrock,<l_bedrock>,jules_soil.nml,jules_soil,logical,F,1,0,0,.false.
l_dpsids_dsdz,<l_dpsids_dsdz>,jules_soil.nml,jules_soil,logical,F,1,0,0,.false.
l_soil_sat_down,<l_soil_sat_down>,jules_soil.nml,jules_soil,logical,F,1,0,0,.false.
l_vg_soil,<l_vg_soil>,jules_soil.nml,jules_soil,logical,F,1,0,0,.false.
sm_levels,<sm_levels>,jules_soil.nml,jules_soil,integer,F,1,0,0,4
soilhc_method,<soilhc_method>,jules_soil.nml,jules_soil,integer,F,1,0,0,3
zsmc,<zsmc>,jules_soil.nml,jules_soil,real,F,1,4,0,1
zst,<zst>,jules_soil.nml,jules_soil,real,F,1,4,0,1
l_holdwater,<l_holdwater>,jules_soil.nml,jules_soil,logical,F,1,0,0,.false.
const_ch4_cs,<const_ch4_cs>,jules_soil_biogeochem.nml,jules_soil_biogeochem,integer,F,1,0,0,0
const_ch4_npp,<const_ch4_npp>,jules_soil_biogeochem.nml,jules_soil_biogeochem,integer,F,1,0,0,0
const_ch4_resps,<const_ch4_resps>,jules_soil_biogeochem.nml,jules_soil_biogeochem,integer,F,1,0,0,0
kaps,<kaps>,jules_soil_biogeochem.nml,jules_soil_biogeochem,real,F,1,4,0,5.00E-09
l_layeredc,<l_layeredc>,jules_soil_biogeochem.nml,jules_soil_biogeochem,logical,F,1,0,0,.false.
l_q10,<l_q10>,jules_soil_biogeochem.nml,jules_soil_biogeochem,logical,F,1,0,0,.true.
l_soil_resp_lev2,<l_soil_resp_lev2>,jules_soil_biogeochem.nml,jules_soil_biogeochem,logical,F,1,0,0,.false.
q10_ch4_cs,<q10_ch4_cs>,jules_soil_biogeochem.nml,jules_soil_biogeochem,real,F,1,4,0,7.41E-12
q10_ch4_npp,<q10_ch4_npp>,jules_soil_biogeochem.nml,jules_soil_biogeochem,real,F,1,4,0,9.99E-03
q10_ch4_resps,<q10_ch4_resps>,jules_soil_biogeochem.nml,jules_soil_biogeochem,real,F,1,4,0,4.36E-03
q10_soil,<q10_soil>,jules_soil_biogeochem.nml,jules_soil_biogeochem,real,F,1,4,0,2
